Headline
අඟහරුවාදා (26) සිට ඇඳිරි නීතිය ලිහිල් වෙයි
එජාපය බෝඩ් ලෑල්ලකට සීමා වෙලා - රංජිත් මද්දුම බණ්ඩාර 
අදත් දිවයින පුරා ඇඳිරි නීතිය
කොළඹ කොටස් වෙළඳපොලේ ගණුදෙනු කාලය දිගු කෙරේ
එළවළු මිල පාලනයට පොලීසියත්
රටම අද යළි විවෘත වෙයි - නිරෝධායන නීති ඒ අයුරින්ම - මීටරය පැන්නොත් අත්අඩංගුවට
ආණ්ඩුව උත්සාහ දරන්නේ තමන්ගේ නොහැකියාව වසා ගැනීමටයි - මන්ත්රී අජිත් පී. පෙරේරා 
ක්රීඩක ෂෙහාන් මධුශංකට ක්රිකට් ආයතනයෙන් තහනමක් 
මාධ්ය සාකච්ඡාවක් පැවැත්වූ පමණින් සිරගත කරන යුගයක් අද රට තුළ නිර්මාණය වෙලා - සජිත් 
මැතිවරණ දිනයට එරෙහි පෙත්සම් සලකා බැලීම 7 වන දිනටත් ඇරඹේ
බද්ද වැඩිවීමෙන් අත්යාවශ්ය ආහාර කිහිපයක මිල ඉහළට
මැතිවරණ පෙත්සම් අදත් සළකා බැලේ
මැතිවරණ පෙත්සම් අටවන දිනටත් සලකා බැලීම ඇරඹේ
මුහුණ දීමට සිදුව ඇති දුෂ්කරතා කුමක් වුවද පළමුව ජනතාව යන ප්රතිපත්තිය අත්හළ නොහැකියි - ජනපති
මැතිවරණ කොමිසමේ නිලධාරීන්ට බේරුවල පැවැත්වූ සමුළුවක් ගැන ජානිපෙ කතා කරයි 
දිවයින පුරා පනවා තිබූ ඇඳිරි නීතිය ඉවතට
මහ මැතිවරණය ගැන පෙත්සම් සලකා බැලීම 10 වන දිනයටත්
නැට්වෙල්ත් සෙකියුරිටීස් ලිමිටඩ්-හි ව්යාපාර කටයුතු අත්හිටුවයි
ඇමෙරිකාවේ ප්රාන්ත රැසක ඇදිරිනීතියද නොතකා තවදුරටත් විරෝධතා 
පාතාල නායකයන් බන්ධනාගාරයේ සිට කරන මෙහෙයුම් නතර විය යුතු බව ජනපති අවධාරණය කරයි 
ශ්රේෂ්ඨාධිකරණ තීන්දුවෙන් පසු සතුට සැමරූ හැටි 
දරු පස්දෙනෙකු හදාගැනීමට උදව් ඉල්ලන හමුදා පවුල 
මැතිවරණයට එන්නේ විපක්ෂයක් නැතුවයි - මෛත්රීපාල 
මැතිවරණය පෙත්සම් විභාගය ප්රතික්ෂේප කිරීම ගැන පක්ෂ විපක්ෂ අදහස් 
පාලමක් අවැසි මොහොත්තුවාරම 
එජාප අර්බුදය ගැන පක්ෂ විපක්ෂ විවිධ අදහස් 
දෙසතියකින් වැලිවලටත් පාලන මිලක් 
රට අතහැර යන්නේ නැහැ. - කේ.පී. හිරුට කියයි.
Update: නව අමාත්ය මණ්ඩලය මෙසේය..
Update : සජීන්ගේ නිවසේදි ලීසා අතරමං වෙයි.
රිය අනතුරකින් පොලිස් සැරයන්වරයෙක් ජීවිතක්ෂයට.
මන්ත්රී ජනකට වුනදේ ගැන ඇමති හැරිසන් කියයි.
මෛත්රී පාලනයේ ජය සැමරූ තිදරු මව නිවසින් එළියට.
රජයට එක්වනවට එරෙහිව අදත් විරෝධතා.
අපරීක්ෂාකාරී රිය ධාවනයක් - සි.සී.ටී.වී. සාක්ෂි සහිතයි.
Update: තෙවරප්පෙරුමට නොතීසි.
විදුලිබල මණ්ඩලයේ සේවකයන් විරෝධතාවක.
මෙච්චර කාලයක් දේශපාලනය කළා.ප්රථම වතාවට තමයි අපේ ගෙදර පරික්ෂා කළේ.
සියල්ල රට සහ ජනතාව වෙනුවෙන්. ජනපති.
තිස්ස ඇවිත් හැරිලා ගිහින්ලු.
ඡන්දය දවසේ අගවිනිසුරු අරලියගහ මන්දිරයේ සිටියා දැයි කල්පනාවක් නැහැ.- ගම්මන්පිල.
සිරිසේනයෝ කියලා බැන්න අය දැන් කියනවා මේ අපේ ජනාධිපතිතුමාලු.හරිම තුච්ච දේශපාලනයක්.
ජනතා සහන දිගටම - අගමැති.
ඉස්සෙල්ලා අපි සහන දෙමු. ඊට පස්සේ හොරු අල්ලමු.
Update: හැව්ලොක්සිටි සිව් හැවිරිදි දැරියගේ මරණයට හේතුව.
Update: ශිරන්ති රාජපක්ෂට සහ යෝෂිත රාජපක්ෂට එරෙහිව පැමිණිලි දෙකක්.
Update: අගවිනිසුරු ධුරයේ වැඩ ඇරඹූ ශිරාණි බණ්ඩාරනායක හෙට විශ්රාම යයි.
උඩුවේ හිමිගේ විහාරයේ හොර අලි පැටියෙක්
"Update: රාජ්ය සේවක වැටුප 10,000 කින් ඉහළට, භූමිතෙල්, ගෑස් හා සිමෙන්ති මිලත් පහළට."
ඊයේ සිට රිය අනතුරුවලින් 6ක් මරුට
Update: අදත් අලි 3 ක් පරීක්ෂා කරලා
Update: කල් ගිය ඡන්දය පෙබරවාරි 28
Update: වත්තල ප්රා.දේ. සභාවේ ගුටි කෙළියට 3ක් කොටුවෙයි
Update: අගමැතිගේ ඉල්ලීමෙන් මැතිසබය සඳුදා කැදවයි
Update : නිදහස් සැමරුමට ජනාධිපතිවරයා ඇතුළු සම්භාවනීය අමුත්තන් පැමිණේ
කේ.පි.ට රටින් පිට වීම තහනම්
අතුරුදන්වූවන් සොයන කොමිසම කල්මරයි
මට සාධාරණයක් ඉටු වූයේ නැහැ - විපක්ෂ නායක
ළමා අයිතිවාසිකම් සහ වරප්රසාද ගැන ජනපති කතා කරයි
ප්රදේශ කිහිපයක රිය අනතුරුවලින් 4 දෙනෙකු මරුට
අසත්ය පුවතක් ගැන ඇමති දුමින්ද කථා කරයි
රුපියල අවප්රමාණවීමට කඩිනමින් විසඳුම් අවශ්යයි ජනපති කියයි
කොල්ලුපිටියේ නිවසකින් කාන්තා මළ සිරුරක් හමුවේ
පරිසර අමාත්යංශය පවරාගත් හේතුව ජනපති හෙළි කරයි
භාරකාර ආණ්ඩුවක් ගැන තවමත් අදහසක් නැහැ - සන්ධාන මහලේකම්
කම්කරු අමාත්යාංශය වැටලීමට අන්තර් සමාගම් සේවක සංගමය සැරසේ
තනි ආණ්ඩුවක් පිහිටුවන හැටි එජාපය පැහැදිලි කරයි
වැල්ලවත්ත වෙරළ තීරයේ තිබී පුද්ගල සිරුරක් හමුවේ
ආන්දෝලනාත්මක ජනාධිපති සහ හිටපු ජනාධිපති හමුව ගැන එස්.බී. දිසානායකගෙන් නිවේදනයක්
මන්ත්රී චන්දිම වීරක්කොඩි උද්ඝෝෂණයකට මැදිවෙයි
